alpha beta logL
-0.5 -0.8333333333 1.683095287
-0.4583333333 -0.8333333333 1.683115573
-0.4166666667 -0.8333333333 1.683134294
-0.375 -0.8333333333 1.683151355
-0.3333333333 -0.8333333333 1.683166684
-0.2916666667 -0.8333333333 1.683180234
-0.25 -0.8333333333 1.683191972
-0.2083333333 -0.8333333333 1.683201885
-0.1666666667 -0.8333333333 1.683209967
-0.125 -0.8333333333 1.683216225
-0.08333333333 -0.8333333333 1.683220671
-0.04166666667 -0.8333333333 1.683223321
0 -0.8333333333 1.683224197
0.04166666667 -0.8333333333 1.683223324
0.08333333333 -0.8333333333 1.683220726
0.125 -0.8333333333 1.683216433
0.1666666667 -0.8333333333 1.683210474
0.2083333333 -0.8333333333 1.683202881
0.25 -0.8333333333 1.683193691
0.2916666667 -0.8333333333 1.683182946
0.3333333333 -0.8333333333 1.683170694
0.375 -0.8333333333 1.683156992
0.4166666667 -0.8333333333 1.683141909
0.4583333333 -0.8333333333 1.683125529
0.5 -0.8333333333 1.683107953
0.5416666667 -0.8333333333 1.683089305
0.5833333333 -0.8333333333 1.683069733
0.625 -0.8333333333 1.683049418
0.6666666667 -0.8333333333 1.683028575
0.7083333333 -0.8333333333 1.68300746
0.75 -0.8333333333 1.682986376
0.7916666667 -0.8333333333 1.682965679
0.8333333333 -0.8333333333 1.682945785
0.875 -0.8333333333 1.682927174
0.9166666667 -0.8333333333 1.682910404
0.9583333333 -0.8333333333 1.68289611
1 -0.8333333333 1.682885021
1.041666667 -0.8333333333 1.682877961
1.083333333 -0.8333333333 1.682875862
1.125 -0.8333333333 1.682879775
1.166666667 -0.8333333333 1.682890874
1.208333333 -0.8333333333 1.682910471
1.25 -0.8333333333 1.682940023
-1.25 -0.7916666667 1.644474161
-1.208333333 -0.7916666667 1.644432982
-1.166666667 -0.7916666667 1.644404788
-1.125 -0.7916666667 1.644387691
-1.083333333 -0.7916666667 1.644379987
-1.041666667 -0.7916666667 1.644380142
-1 -0.7916666667 1.644386784
-0.9583333333 -0.7916666667 1.644398689
-0.9166666667 -0.7916666667 1.644414771
-0.875 -0.7916666667 1.644434072
-0.8333333333 -0.7916666667 1.644455751
-0.7916666667 -0.7916666667 1.644479073
-0.75 -0.7916666667 1.644503403
-0.7083333333 -0.7916666667 1.644528195
-0.6666666667 -0.7916666667 1.644552982
-0.625 -0.7916666667 1.644577371
-0.5833333333 -0.7916666667 1.644601033
-0.5416666667 -0.7916666667 1.644623698
-0.5 -0.7916666667 1.644645145
-0.4583333333 -0.7916666667 1.644665198
-0.4166666667 -0.7916666667 1.644683722
-0.375 -0.7916666667 1.644700611
-0.3333333333 -0.7916666667 1.644715792
